//item    name  prof lbs range speed APR  type DMG bonus THAC0 STR DEX LOOK
//sling
SLNG01,   -,    107, 0,  40,   10,   1,   CM,  0,  Y,    -2,   0,  10, SL
//short bow
BOW05,    -,    105, 1,  75,   5,    2,   M,   0,  N,    -1,   10, 7,  BS
//longbow
BOW03,    -,    104, 2,  80,   6,    1.5, P,   2,  N,    -1,   12, 5,  BW
//warbow
HEMAWB,   -,    104, 2,  100,  7,    1.5, P,   3,  N,    0,    16, 5,  BW
//heavy warbow (composite longbow)
BOW01,    @,    104, 3,  110,  8,    1.5, P,   4,  N,    0,    18, 5,  BW
//light crossbow
XBOW04,   -,    103, 4,  90,   7,    1,   P,   2,  N,    1,    5,  5,  CB
//heavy crossbow
XBOW01,   -,    103, 5,  110,  10,   1,   P,   4,  N,    3,    5,  5,  CB

